comp_bytes	uncomp_bytes	num_apps	path	apps
67023096	90380253	1	assets/nn-71d6d32cb962.nnue	chess
44143017	44146145	1	assets/world_z0-6.pmtiles	maps
29897192	29897192	1	classes.dex	openassistant
17575688	17575688	3	lib/arm64-v8a/libonnxruntime.so	openassistant,pdf,photos
15429024	15429024	4	lib/arm64-v8a/libmaplibre.so	findfamily,maps,photos,weather
14882976	14882976	1	lib/arm64-v8a/liblitertlm_jni.so	openassistant
14791235	14791235	1	assets/edgeface.onnx	photos
14566294	27668696	1	assets/admin1.fgb	maps
13250948	13250948	1	classes2.dex	openassistant
10533648	10533648	1	lib/arm64-v8a/libmediapipe_tasks_jni.so	photos
9484932	9484932	1	classes.dex	messages
9405324	9405324	1	classes3.dex	openassistant
8967018	8967018	2	assets/ocr/rec.onnx	pdf,photos
8401004	8401004	1	classes.dex	photos
8350693	20897272	1	lib/arm64-v8a/libopencv_java4.so	camera
8066056	8066056	1	classes4.dex	openassistant
7919836	24516280	1	libsignal_jni_testing_amd64.dylib	messages
7629188	23556728	1	libsignal_jni_testing_aarch64.dylib	messages
7411920	7411920	1	lib/arm64-v8a/libsignal_jni_testing.so	messages
7018402	19500032	1	signal_jni_testing_amd64.dll	messages
7016303	21567376	1	libsignal_jni_amd64.dylib	messages
6928152	6928152	1	classes.dex	youpipe
6748509	20580384	1	libsignal_jni_aarch64.dylib	messages
6707920	6707920	1	lib/arm64-v8a/libsignal_jni.so	messages
6247110	17178624	1	signal_jni_amd64.dll	messages
5789364	5789364	1	classes.dex	camera
5758488	5758488	1	classes.dex	music
5303220	5303220	1	classes.dex	weather
5147512	5147512	1	classes.dex	findfamily
5146861	14027656	1	lib/arm64-v8a/libmediapipe_tasks_vision_jni.so	camera
5064136	5064136	1	lib/arm64-v8a/libLiteRt.so	openassistant
5007206	16437409	1	assets/dictionary.csv	wordmaker
4955170	9387432	1	assets/admin0.fgb	maps
4924753	19678072	1	assets/cities.csv	clock
4896156	4896156	1	classes.dex	maps
4784468	4784468	1	classes.dex	pdf
4731892	4731892	1	classes.dex	email
4689008	4689008	1	classes.dex	health
4385760	4385760	1	classes.dex	calendar
4137012	4137012	1	classes.dex	contacts
3934620	3934620	1	classes.dex	notes
3534344	3534344	1	classes.dex	office
3464980	3464980	1	classes.dex	clock
3271088	3271088	1	classes.dex	passwords
3178112	3178112	1	classes.dex	wordmaker
3129604	3129604	1	classes.dex	alchemist
3110172	3110172	1	classes.dex	pipes
3107164	3107164	1	classes.dex	solitaire
3086764	3086764	1	classes.dex	unblockjam
3086320	3086320	1	classes.dex	chess
2780176	2780176	2	assets/deeplab_v3.tflite	camera,photos
2778128	2778128	1	lib/arm64-v8a/libLiteRtClGlAccelerator.so	openassistant
2719960	2719960	1	lib/arm64-v8a/libweather_om.so	weather
2423224	2423224	2	assets/ocr/det.onnx	pdf,photos
2084360	2084360	24	lib/arm64-v8a/libsqlcipher.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1703968	1703968	1	resources.arsc	openassistant
1682976	1682976	1	lib/arm64-v8a/libofflinerouter.so	maps
1540600	1540600	1	lib/arm64-v8a/libstockfish.so	chess
1268384	1268384	24	lib/arm64-v8a/libink.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
976712	976712	1	resources.arsc	calendar
954352	954352	1	lib/arm64-v8a/libpdf_render.so	pdf
933880	933880	1	resources.arsc	pdf
898120	898120	1	resources.arsc	photos
872772	872772	1	resources.arsc	findfamily
862548	862548	1	resources.arsc	weather
860192	860192	1	resources.arsc	youpipe
849196	849196	1	resources.arsc	email
826008	826008	1	resources.arsc	music
755864	755864	1	resources.arsc	maps
749804	749804	1	resources.arsc	health
749257	752652	2	org/bouncycastle/pqc/crypto/picnic/lowmcL5.bin.properties	messages,passwords
741920	741920	1	resources.arsc	contacts
