comp_bytes	num_apps	waste_bytes	path	apps
17575688	3	35151376	lib/arm64-v8a/libonnxruntime.so	openassistant,pdf,photos
15429024	4	46287072	lib/arm64-v8a/libmaplibre.so	findfamily,maps,photos,weather
8967018	2	8967018	assets/ocr/rec.onnx	pdf,photos
2780176	2	2780176	assets/deeplab_v3.tflite	camera,photos
2423224	2	2423224	assets/ocr/det.onnx	pdf,photos
2084360	24	47940280	lib/arm64-v8a/libsqlcipher.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1268384	24	29172832	lib/arm64-v8a/libink.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
749257	2	749257	org/bouncycastle/pqc/crypto/picnic/lowmcL5.bin.properties	messages,passwords
348178	2	348178	org/bouncycastle/pqc/crypto/picnic/lowmcL3.bin.properties	messages,passwords
212392	24	4885016	lib/arm64-v8a/libgraphics-core.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
117380	2	117380	org/bouncycastle/pqc/crypto/picnic/lowmcL1.bin.properties	messages,passwords
82776	3	165552	lib/arm64-v8a/libonnxruntime4j_jni.so	openassistant,pdf,photos
41409	10	372681	okhttp3/internal/publicsuffix/publicsuffixes.gz	findfamily,maps,messages,music,notes,openassistant,pdf,photos,weather,youpipe
32528	3	65056	lib/arm64-v8a/libimage_processing_util_jni.so	camera,messages,pdf
18478	4	55434	res/l2.png	findfamily,maps,photos,weather
15951	2	15951	google/protobuf/descriptor.proto	messages,youpipe
11380	4	34140	res/as.png	findfamily,maps,photos,weather
10096	24	232208	lib/arm64-v8a/libandroidx.graphics.path.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
8315	4	24945	res/ze.png	findfamily,maps,photos,weather
7784	24	179032	lib/arm64-v8a/libdatastore_shared_counter.so	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
